"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"H2AC7" "P20671" "H2AC7" "Histone H2A type 1-D" "Homo sapiens" "9606" "H2AC7" "1" "2"
"TALDO1" "Q2TBL6" "TALDO1" "Transaldolase" "Bos taurus" "9913" "TALDO1" "2" "1"
"Q9XSA7" "Q9XSA7" "Q9XSA7" "Chloride intracellular channel protein 4" "Bos taurus" "9913" "CLIC4" "2" "3"
"Q9BTM1" "Q9BTM1" "Q9BTM1" "Histone H2A.J" "Homo sapiens" "9606" "H2AJ" "1" "1"
"LTA4H" "Q3SZH7" "LTA4H" "Leukotriene A-4 hydrolase" "Bos taurus" "9913" "LTA4H" "2" "3"
"PSMe1" "Q4U5R3" "PSMe1" "Proteasome activator complex subunit 1" "Bos taurus" "9913" "PSMe1" "1" "1"
"H2AC14" "Q99878" "H2AC14" "Histone H2A type 1-J" "Homo sapiens" "9606" "H2AC14" "1" "3"
"Q16777" "Q16777" "Q16777" "Histone H2A type 2-C" "Homo sapiens" "9606" "H2AC20" "1" "4"
"H2AC18" "Q6FI13" "H2AC18" "Histone H2A type 2-A" "Homo sapiens" "9606" "H2AC18" "1" "3"
"H2AC1" "Q96QV6" "H2AC1" "Histone H2A type 1-A" "Homo sapiens" "9606" "H2AC1" "1" "3"
"GSTA5" "Q7RTV2" "GSTA5" "Glutathione S-transferase A5" "Homo sapiens" "9606" "GSTA5" "1" "1"
"ADAMTS13" "Q76LX8" "ADAMTS13" "A disintegrin and metalloproteinase with thrombospondin motifs 13" "Homo sapiens" "9606" "ADAMTS13" "1" "1"
"P0C0S5" "P0C0S5" "P0C0S5" "Histone H2A.Z" "Homo sapiens" "9606" "H2AZ1" "1" "2"
"DeFA1" "P59665" "DeFA1" "Neutrophil defensin 1" "Homo sapiens" "9606" "DeFA1" "1" "1"
"DHFR" "P00376" "DHFR" "Dihydrofolate reductase" "Bos taurus" "9913" "DHFR" "1" "3"
"P45877" "P45877" "P45877" "Peptidyl-prolyl cis-trans isomerase C" "Homo sapiens" "9606" "PPIC" "1" "1"
"ILK" "Q13418" "ILK" "Integrin-linked protein kinase" "Homo sapiens" "9606" "ILK" "1" "2"
"PCDH18" "A7MB46" "PCDH18" "Protocadherin-18" "Bos taurus" "9913" "PCDH18" "2" "1"
"ZNF793" "Reverse_sp|Q6ZN11|ZN793_HUMAN" "ZNF793" "Zinc finger protein 793" "Homo sapiens" "9606" "ZNF793" "2" "2"
"CAB39" "Q29RI6" "CAB39" "Calcium-binding protein 39" "Bos taurus" "9913" "CAB39" "2" "1"
"PePD" "P12955" "PePD" "Xaa-Pro dipeptidase" "Homo sapiens" "9606" "PePD" "1" "3"
"P10909" "P10909" "P10909" "Clusterin" "Homo sapiens" "9606" "CLU" "1" "1"
"ANGPT2" "O77802" "ANGPT2" "Angiopoietin-2" "Bos taurus" "9913" "ANGPT2" "2" "3"
"PROZ" "P00744" "PROZ" "Vitamin K-dependent protein Z" "Bos taurus" "9913" "PROZ" "1" "1"
"AMH" "P03972" "AMH" "Muellerian-inhibiting factor" "Bos taurus" "9913" "AMH" "1" "1"
"MAP10" "Reverse_sp|A3KMW7|MAP10_BOVIN" "MAP10" "Microtubule-associated protein 10" "Bos taurus" "9913" "MAP10" "2" "1"
"MDK" "P21741" "MDK" "Midkine" "Homo sapiens" "9606" "MDK" "1" "1"
"eeF1A1P5" "Q5VTe0" "eeF1A1P5" "Putative elongation factor 1-alpha-like 3" "Homo sapiens" "9606" "eeF1A1P5" "5" "1"
"HABP2" "Q5e9Z2" "HABP2" "Hyaluronan-binding protein 2" "Bos taurus" "9913" "HABP2" "2" "1"
"P63261" "P63261" "P63261" "Actin. cytoplasmic 2" "Homo sapiens" "9606" "ACTG1" "1" "1"
"P02768" "P02768" "P02768" "Albumin" "Homo sapiens" "9606" "ALB" "1" "2"
"KRT14" "P02533" "KRT14" "Keratin. type I cytoskeletal 14" "Homo sapiens" "9606" "KRT14" "1" "4"
"KRT1" "P04264" "KRT1" "Keratin. type II cytoskeletal 1" "Homo sapiens" "9606" "KRT1" "1" "6"
"TLN1" "Q9Y490" "TLN1" "Talin-1" "Homo sapiens" "9606" "TLN1" "1" "3"
"PKM" "P14618" "PKM" "Pyruvate kinase PKM" "Homo sapiens" "9606" "PKM" "1" "4"
"KRT9" "P35527" "KRT9" "Keratin. type I cytoskeletal 9" "Homo sapiens" "9606" "KRT9" "1" "3"
"P13645" "P13645" "P13645" "Keratin. type I cytoskeletal 10" "Homo sapiens" "9606" "KRT10" "1" "6"
"CSN2" "P02666" "CSN2" "Beta-casein" "Bos taurus" "9913" "CSN2" "1" "2"
"VTN" "P04004" "VTN" "Vitronectin" "Homo sapiens" "9606" "VTN" "1" "1"
"KRT16" "P08779" "KRT16" "Keratin. type I cytoskeletal 16" "Homo sapiens" "9606" "KRT16" "1" "4"
"P19823" "P19823" "P19823" "Inter-alpha-trypsin inhibitor heavy chain H2" "Homo sapiens" "9606" "ITIH2" "1" "2"
"KRT13" "P13646" "KRT13" "Keratin. type I cytoskeletal 13" "Homo sapiens" "9606" "KRT13" "1" "4"
"P13647" "P13647" "P13647" "Keratin. type II cytoskeletal 5" "Homo sapiens" "9606" "KRT5" "1" "3"
"RPS4" "P79103" "RPS4" "Small ribosomal subunit protein eS4" "Bos taurus" "9913" "RPS4" "2" "3"
"Q04695" "Q04695" "Q04695" "Keratin. type I cytoskeletal 17" "Homo sapiens" "9606" "KRT17" "1" "2"
"KRT3" "P12035" "KRT3" "Keratin. type II cytoskeletal 3" "Homo sapiens" "9606" "KRT3" "1" "3"
"H4C1" "P62805" "H4C1" "Histone H4" "Homo sapiens" "9606" "H4C1" "1" "2"
"C4A" "P0C0L4" "C4A" "Complement C4-A" "Homo sapiens" "9606" "C4A" "1" "2"
"P01024" "P01024" "P01024" "Complement C3" "Homo sapiens" "9606" "C3" "1" "2"
"KRT78" "A6QNX5" "KRT78" "Keratin. type II cytoskeletal 78" "Bos taurus" "9913" "KRT78" "2" "1"
"SYNCRIP" "O60506" "SYNCRIP" "Heterogeneous nuclear ribonucleoprotein Q" "Homo sapiens" "9606" "SYNCRIP" "1" "2"
"RNASe4" "P15467" "RNASe4" "Ribonuclease 4" "Bos taurus" "9913" "RNASe4" "1" "5"
"P26583" "P26583" "P26583" "High mobility group protein B2" "Homo sapiens" "9606" "HMGB2" "1" "2"
"P0CG53" "P0CG53" "P0CG53" "Polyubiquitin-B" "Bos taurus" "9913" "UBB" "1" "1"
"UBC" "P0CH28" "UBC" "Polyubiquitin-C" "Bos taurus" "9913" "UBC" "1" "1"
"KRT2" "P35908" "KRT2" "Keratin. type II cytoskeletal 2 epidermal" "Homo sapiens" "9606" "KRT2" "1" "2"
"P68032" "P68032" "P68032" "Actin. alpha cardiac muscle 1" "Homo sapiens" "9606" "ACTC1" "1" "1"
"KRT74" "A3KN27" "KRT74" "Keratin. type II cytoskeletal 74" "Bos taurus" "9913" "KRT74" "2" "1"
"KRT6B" "P04259" "KRT6B" "Keratin. type II cytoskeletal 6B" "Homo sapiens" "9606" "KRT6B" "1" "5"
"P02647" "P02647" "P02647" "Apolipoprotein A-I" "Homo sapiens" "9606" "APOA1" "1" "1"
"Q7RTS7" "Q7RTS7" "Q7RTS7" "Keratin. type II cytoskeletal 74" "Homo sapiens" "9606" "KRT74" "1" "2"
"DSP" "P15924" "DSP" "Desmoplakin" "Homo sapiens" "9606" "DSP" "1" "3"
"P04406" "P04406" "P04406" "Glyceraldehyde-3-phosphate dehydrogenase" "Homo sapiens" "9606" "GAPDH" "1" "3"
"CSRP1" "Q3MHY1" "CSRP1" "Cysteine and glycine-rich protein 1" "Bos taurus" "9913" "CSRP1" "2" "3"
"ANXA2" "P07355" "ANXA2" "Annexin A2" "Homo sapiens" "9606" "ANXA2" "1" "2"
"ANXA1" "P46193" "ANXA1" "Annexin A1" "Bos taurus" "9913" "ANXA1" "1" "2"
"CRB1" "P82279" "CRB1" "Protein crumbs homolog 1" "Homo sapiens" "9606" "CRB1" "1" "2"
"HRNR" "Q86YZ3" "HRNR" "Hornerin" "Homo sapiens" "9606" "HRNR" "1" "2"
"RHOB" "P62745" "RHOB" "Rho-related GTP-binding protein RhoB" "Homo sapiens" "9606" "RHOB" "1" "1"
"KRT6C" "P48668" "KRT6C" "Keratin. type II cytoskeletal 6C" "Homo sapiens" "9606" "KRT6C" "1" "3"
"P68133" "P68133" "P68133" "Actin. alpha skeletal muscle" "Homo sapiens" "9606" "ACTA1" "1" "1"
"KRT76" "Q01546" "KRT76" "Keratin. type II cytoskeletal 2 oral" "Homo sapiens" "9606" "KRT76" "1" "2"
"S100A8" "P28782" "S100A8" "Protein S100-A8" "Bos taurus" "9913" "S100A8" "1" "2"
"LYZ" "P61626" "LYZ" "Lysozyme C" "Homo sapiens" "9606" "LYZ" "1" "1"
"AMY1A" "P0DUB6" "AMY1A" "Alpha-amylase 1A" "Homo sapiens" "9606" "AMY1A" "1" "1"
"P0DMV9" "P0DMV9" "P0DMV9" "Heat shock 70 kDa protein 1B" "Homo sapiens" "9606" "HSPA1B" "1" "1"
"IGHA1" "P01876" "IGHA1" "Immunoglobulin heavy constant alpha 1" "Homo sapiens" "9606" "IGHA1" "1" "3"
"H3-5" "A5PK61" "H3-5" "Histone H3.3C" "Bos taurus" "9913" "H3-5" "2" "1"
"RPS18" "P62269" "RPS18" "Small ribosomal subunit protein uS13" "Homo sapiens" "9606" "RPS18" "1" "3"
"KRT77" "Q7Z794" "KRT77" "Keratin. type II cytoskeletal 1b" "Homo sapiens" "9606" "KRT77" "1" "3"
"P50395" "P50395" "P50395" "Rab GDP dissociation inhibitor beta" "Homo sapiens" "9606" "GDI2" "1" "2"
"P35900" "P35900" "P35900" "Keratin. type I cytoskeletal 20" "Homo sapiens" "9606" "KRT20" "1" "1"
"ITGB6" "Q8SQB8" "ITGB6" "Integrin beta-6" "Bos taurus" "9913" "ITGB6" "1" "1"
"SeRPIND1" "P05546" "SeRPIND1" "Heparin cofactor 2" "Homo sapiens" "9606" "SeRPIND1" "1" "3"
"P06744" "P06744" "P06744" "Glucose-6-phosphate isomerase" "Homo sapiens" "9606" "GPI" "1" "4"
"SLC1A5" "Q15758" "SLC1A5" "Neutral amino acid transporter B(0)" "Homo sapiens" "9606" "SLC1A5" "1" "2"
"KRT24" "Q2M2I5" "KRT24" "Keratin. type I cytoskeletal 24" "Homo sapiens" "9606" "KRT24" "1" "1"
"GCC2" "Q8IWJ2" "GCC2" "GRIP and coiled-coil domain-containing protein 2" "Homo sapiens" "9606" "GCC2" "1" "4"
"NDRG2" "Q3ZBA8" "NDRG2" "Protein NDRG2" "Bos taurus" "9913" "NDRG2" "2" "1"
"P32754" "P32754" "P32754" "4-hydroxyphenylpyruvate dioxygenase" "Homo sapiens" "9606" "HPD" "1" "2"
"P62826" "P62826" "P62826" "GTP-binding nuclear protein Ran" "Homo sapiens" "9606" "RAN" "1" "3"
"CHI3L1" "P30922" "CHI3L1" "Chitinase-3-like protein 1" "Bos taurus" "9913" "CHI3L1" "1" "3"
"MAST4" "O15021" "MAST4" "Microtubule-associated serine/threonine-protein kinase 4" "Homo sapiens" "9606" "MAST4" "1" "4"
"MAST2" "Q6P0Q8" "MAST2" "Microtubule-associated serine/threonine-protein kinase 2" "Homo sapiens" "9606" "MAST2" "1" "2"
"P0CG48" "P0CG48" "P0CG48" "Polyubiquitin-C" "Homo sapiens" "9606" "UBC" "1" "3"
"ALOXe3" "Q9BYJ1" "ALOXe3" "Hydroperoxide isomerase ALOXe3" "Homo sapiens" "9606" "ALOXe3" "1" "1"
"AQP1" "P47865" "AQP1" "Aquaporin-1" "Bos taurus" "9913" "AQP1" "1" "3"
"P62979" "P62979" "P62979" "Ubiquitin-ribosomal protein eS31 fusion protein" "Homo sapiens" "9606" "RPS27A" "1" "2"
"VCL" "P18206" "VCL" "Vinculin" "Homo sapiens" "9606" "VCL" "1" "4"
"FLG2" "Q5D862" "FLG2" "Filaggrin-2" "Homo sapiens" "9606" "FLG2" "1" "1"
"IQGAP1" "P46940" "IQGAP1" "Ras GTPase-activating-like protein IQGAP1" "Homo sapiens" "9606" "IQGAP1" "1" "1"
"NMe1" "P15531" "NMe1" "Nucleoside diphosphate kinase A" "Homo sapiens" "9606" "NMe1" "1" "1"
"P35580" "P35580" "P35580" "Myosin-10" "Homo sapiens" "9606" "MYH10" "1" "3"
"S100A7" "P31151" "S100A7" "Protein S100-A7" "Homo sapiens" "9606" "S100A7" "1" "4"
"COL14A1" "Q05707" "COL14A1" "Collagen alpha-1(XIV) chain" "Homo sapiens" "9606" "COL14A1" "1" "3"
"K2CB" "P04262" "K2CB" "Keratin. type II cytoskeletal 68 kDa. component IB (Fragment)" "Bos taurus" "9913" NA "2" "1"
"PGAM1" "Q3SZ62" "PGAM1" "Phosphoglycerate mutase 1" "Bos taurus" "9913" "PGAM1" "2" "3"
"NDRG3" "A7MB28" "NDRG3" "Protein NDRG3" "Bos taurus" "9913" "NDRG3" "2" "1"
"ARHGeF9" "Reverse_sp|Q58DL7|ARHG9_BOVIN" "ARHGeF9" "Rho guanine nucleotide exchange factor 9" "Bos taurus" "9913" "ARHGeF9" "2" "1"
"P06727" "P06727" "P06727" "Apolipoprotein A-IV" "Homo sapiens" "9606" "APOA4" "1" "4"
"P04792" "P04792" "P04792" "Heat shock protein beta-1" "Homo sapiens" "9606" "HSPB1" "1" "2"
"P05109" "P05109" "P05109" "Protein S100-A8" "Homo sapiens" "9606" "S100A8" "1" "1"
"CCDC63" "Reverse_sp|Q2T9W3|CCD63_BOVIN" "CCDC63" "Coiled-coil domain-containing protein 63" "Bos taurus" "9913" "CCDC63" "2" "1"
"HSP90B1" "Q95M18" "HSP90B1" "endoplasmin" "Bos taurus" "9913" "HSP90B1" "2" "1"
"Q08554" "Q08554" "Q08554" "Desmocollin-1" "Homo sapiens" "9606" "DSC1" "1" "2"
"RPL22" "P35268" "RPL22" "Large ribosomal subunit protein eL22" "Homo sapiens" "9606" "RPL22" "1" "2"
"CSTA" "P01040" "CSTA" "Cystatin-A" "Homo sapiens" "9606" "CSTA" "1" "1"
"RAB13" "Q58DS5" "RAB13" "Ras-related protein Rab-13" "Bos taurus" "9913" "RAB13" "1" "1"
"JCHAIN" "P01591" "JCHAIN" "Immunoglobulin J chain" "Homo sapiens" "9606" "JCHAIN" "1" "4"
"P16403" "P16403" "P16403" "Histone H1.2" "Homo sapiens" "9606" "H1-2" "1" "2"
"H1-4" "P10412" "H1-4" "Histone H1.4" "Homo sapiens" "9606" "H1-4" "1" "2"
"P08729" "P08729" "P08729" "Keratin. type II cytoskeletal 7" "Homo sapiens" "9606" "KRT7" "1" "5"
"BLMH" "Q13867" "BLMH" "Bleomycin hydrolase" "Homo sapiens" "9606" "BLMH" "1" "1"
"RPL12" "P30050" "RPL12" "Large ribosomal subunit protein uL11" "Homo sapiens" "9606" "RPL12" "1" "1"
"Q32LP2" "Q32LP2" "Q32LP2" "Radixin" "Bos taurus" "9913" "RDX" "2" "1"
"UTP15" "A7MB12" "UTP15" "U3 small nucleolar RNA-associated protein 15 homolog" "Bos taurus" "9913" "UTP15" "2" "1"
"DDBX" "P52898" "DDBX" "Dihydrodiol dehydrogenase 3" "Bos taurus" "9913" NA "2" "1"
"P16402" "P16402" "P16402" "Histone H1.3" "Homo sapiens" "9606" "H1-3" "1" "2"
"CD44" "Q29423" "CD44" "CD44 antigen" "Bos taurus" "9913" "CD44" "2" "1"
"P11021" "P11021" "P11021" "endoplasmic reticulum chaperone BiP" "Homo sapiens" "9606" "HSPA5" "1" "2"
"P06733" "P06733" "P06733" "Alpha-enolase" "Homo sapiens" "9606" "eNO1" "1" "2"
"Q3SWY2" "Q3SWY2" "Q3SWY2" "Integrin-linked protein kinase" "Bos taurus" "9913" "ILK" "2" "1"
"P01023" "P01023" "P01023" "Alpha-2-macroglobulin" "Homo sapiens" "9606" "A2M" "1" "3"
"ARHGDIA" "P19803" "ARHGDIA" "Rho GDP-dissociation inhibitor 1" "Bos taurus" "9913" "ARHGDIA" "1" "3"
"IGHV4-39" "P01824" "IGHV4-39" "Immunoglobulin heavy variable 4-39" "Homo sapiens" "9606" "IGHV4-39" "1" "2"
"P06396" "P06396" "P06396" "Gelsolin" "Homo sapiens" "9606" "GSN" "1" "1"
"COL3A1" "P02461" "COL3A1" "Collagen alpha-1(III) chain" "Homo sapiens" "9606" "COL3A1" "1" "4"
"IGLC3" "P0DOY3" "IGLC3" "Immunoglobulin lambda constant 3" "Homo sapiens" "9606" "IGLC3" "1" "1"
"CNTN1" "Q28106" "CNTN1" "Contactin-1" "Bos taurus" "9913" "CNTN1" "2" "1"
"CTNNB1" "Q0VCX4" "CTNNB1" "Catenin beta-1" "Bos taurus" "9913" "CTNNB1" "1" "1"
"ORM2" "P19652" "ORM2" "Alpha-1-acid glycoprotein 2" "Homo sapiens" "9606" "ORM2" "1" "2"
"P02675" "P02675" "P02675" "Fibrinogen beta chain" "Homo sapiens" "9606" "FGB" "1" "2"
"PZP" "P20742" "PZP" "Pregnancy zone protein" "Homo sapiens" "9606" "PZP" "1" "4"
"O60814" "O60814" "O60814" "Histone H2B type 1-K" "Homo sapiens" "9606" "H2BC12" "1" "3"
"P08697" "P08697" "P08697" "Alpha-2-antiplasmin" "Homo sapiens" "9606" "SeRPINF2" "1" "3"
"P05452" "P05452" "P05452" "Tetranectin" "Homo sapiens" "9606" "CLeC3B" "1" "3"
"PSMB1" "Q2TBX6" "PSMB1" "Proteasome subunit beta type-1" "Bos taurus" "9913" "PSMB1" "1" "1"
"PGM1" "Q08DP0" "PGM1" "Phosphoglucomutase-1" "Bos taurus" "9913" "PGM1" "2" "1"
"C1QB" "Q2KIV9" "C1QB" "Complement C1q subcomponent subunit B" "Bos taurus" "9913" "C1QB" "1" "1"
"MMP2" "Q9GLe5" "MMP2" "72 kDa type IV collagenase" "Bos taurus" "9913" "MMP2" "2" "1"
"SePTIN7" "Q6Q137" "SePTIN7" "Septin-7" "Bos taurus" "9913" "SePTIN7" "2" "2"
"P02774" "P02774" "P02774" "Vitamin D-binding protein" "Homo sapiens" "9606" "GC" "1" "2"
"P02765" "P02765" "P02765" "Alpha-2-HS-glycoprotein" "Homo sapiens" "9606" "AHSG" "1" "2"
"HBG1" "P69891" "HBG1" "Hemoglobin subunit gamma-1" "Homo sapiens" "9606" "HBG1" "1" "2"
"P04272" "P04272" "P04272" "Annexin A2" "Bos taurus" "9913" "ANXA2" "1" "2"
"P04196" "P04196" "P04196" "Histidine-rich glycoprotein" "Homo sapiens" "9606" "HRG" "1" "1"
"TLR9" "Q5I2M5" "TLR9" "Toll-like receptor 9" "Bos taurus" "9913" "TLR9" "1" "1"
"CALD1" "Q27976" "CALD1" "Non-muscle caldesmon (Fragment)" "Bos taurus" "9913" "CALD1" "2" "1"
"PWWP3A" "Q08DK9" "PWWP3A" "PWWP domain-containing DNA repair factor 3A" "Bos taurus" "9913" "PWWP3A" "2" "1"
"GDF6" "P55106" "GDF6" "Growth/differentiation factor 6" "Bos taurus" "9913" "GDF6" "2" "2"
"BPT2" "P04815" "BPT2" "Spleen trypsin inhibitor I" "Bos taurus" "9913" NA "1" "2"
"PSMB3" "P33672" "PSMB3" "Proteasome subunit beta type-3" "Bos taurus" "9913" "PSMB3" "1" "3"
"P07737" "P07737" "P07737" "Profilin-1" "Homo sapiens" "9606" "PFN1" "1" "2"
"ANXA5" "P81287" "ANXA5" "Annexin A5" "Bos taurus" "9913" "ANXA5" "1" "3"
"P62736" "P62736" "P62736" "Actin. aortic smooth muscle" "Homo sapiens" "9606" "ACTA2" "1" "1"
"IGF2R" "P08169" "IGF2R" "Cation-independent mannose-6-phosphate receptor" "Bos taurus" "9913" "IGF2R" "1" "2"
"RAB11A" "Q2TA29" "RAB11A" "Ras-related protein Rab-11A" "Bos taurus" "9913" "RAB11A" "2" "3"
"P61284" "P61284" "P61284" "Large ribosomal subunit protein uL11" "Bos taurus" "9913" "RPL12" "2" "1"
"OXR1" "A5PKL1" "OXR1" "Oxidation resistance protein 1" "Bos taurus" "9913" "OXR1" "2" "2"
"GOLGA4" "Reverse_sp|Q13439|GOGA4_HUMAN" "GOLGA4" "Golgin subfamily A member 4" "Homo sapiens" "9606" "GOLGA4" "1" "1"
"H1-10" "Q92522" "H1-10" "Histone H1.10" "Homo sapiens" "9606" "H1-10" "1" "1"
"HBG2" "P69892" "HBG2" "Hemoglobin subunit gamma-2" "Homo sapiens" "9606" "HBG2" "1" "2"
"P63267" "P63267" "P63267" "Actin. gamma-enteric smooth muscle" "Homo sapiens" "9606" "ACTG2" "1" "1"
"Q14240" "Q14240" "Q14240" "eukaryotic initiation factor 4A-II" "Homo sapiens" "9606" "eIF4A2" "1" "2"
"LASP1" "Q3B7M5" "LASP1" "LIM and SH3 domain protein 1" "Bos taurus" "9913" "LASP1" "2" "1"
"IGLC7" "A0M8Q6" "IGLC7" "Immunoglobulin lambda constant 7" "Homo sapiens" "9606" "IGLC7" "1" "3"
"CeP41" "F1MUG2" "CeP41" "Centrosomal protein of 41 kDa" "Bos taurus" "9913" "CeP41" "3" "2"
"TSPAN8" "Q2KIS9" "TSPAN8" "Tetraspanin-8" "Bos taurus" "9913" "TSPAN8" "2" "1"
"GTF2e2" "Q2KJF9" "GTF2e2" "General transcription factor IIe subunit 2" "Bos taurus" "9913" "GTF2e2" "2" "1"
"CATHL6" "P54228" "CATHL6" "Cathelicidin-6" "Bos taurus" "9913" "CATHL6" "1" "1"
"IGFBP4" "Q05716" "IGFBP4" "Insulin-like growth factor-binding protein 4" "Bos taurus" "9913" "IGFBP4" "2" "1"
"HSPA6" "P17066" "HSPA6" "Heat shock 70 kDa protein 6" "Homo sapiens" "9606" "HSPA6" "1" "2"
"eNO2" "P09104" "eNO2" "Gamma-enolase" "Homo sapiens" "9606" "eNO2" "1" "3"
"ATIC" "Q0VCK0" "ATIC" "Bifunctional purine biosynthesis protein ATIC" "Bos taurus" "9913" "ATIC" "2" "1"
"MAPRe2" "Q3SZP2" "MAPRe2" "Microtubule-associated protein RP/eB family member 2" "Bos taurus" "9913" "MAPRe2" "2" "1"
"TUBA4B" "Q9H853" "TUBA4B" "Putative tubulin-like protein alpha-4B" "Homo sapiens" "9606" "TUBA4B" "5" "2"
"PTX3" "Q0VCG9" "PTX3" "Pentraxin-related protein PTX3" "Bos taurus" "9913" "PTX3" "2" "1"
"PFKL" "A1A4J1" "PFKL" "ATP-dependent 6-phosphofructokinase. liver type" "Bos taurus" "9913" "PFKL" "2" "1"
"Q0VCM4" "Q0VCM4" "Q0VCM4" "Glycogen phosphorylase. liver form" "Bos taurus" "9913" "PYGL" "2" "1"
"ANXA2P2" "A6NMY6" "ANXA2P2" "Putative annexin A2-like protein" "Homo sapiens" "9606" "ANXA2P2" "5" "2"
"MYH3" "P11055" "MYH3" "Myosin-3" "Homo sapiens" "9606" "MYH3" "1" "3"
"PPIB" "P23284" "PPIB" "Peptidyl-prolyl cis-trans isomerase B" "Homo sapiens" "9606" "PPIB" "1" "2"
"Q14533" "Q14533" "Q14533" "Keratin. type II cuticular Hb1" "Homo sapiens" "9606" "KRT81" "1" "3"
"CALML5" "Q9NZT1" "CALML5" "Calmodulin-like protein 5" "Homo sapiens" "9606" "CALML5" "1" "2"
"POTee" "Q6S8J3" "POTee" "POTe ankyrin domain family member e" "Homo sapiens" "9606" "POTee" "2" "3"
"FRMD4B" "Q9Y2L6" "FRMD4B" "FeRM domain-containing protein 4B" "Homo sapiens" "9606" "FRMD4B" "1" "4"
"IGLC6" "P0CF74" "IGLC6" "Immunoglobulin lambda constant 6" "Homo sapiens" "9606" "IGLC6" "1" "1"
"ARFIP2" "Q3ZCL5" "ARFIP2" "Arfaptin-2" "Bos taurus" "9913" "ARFIP2" "2" "1"
"PSMA2" "Q3T0Y5" "PSMA2" "Proteasome subunit alpha type-2" "Bos taurus" "9913" "PSMA2" "1" "3"
"LeCT2" "O62644" "LeCT2" "Leukocyte cell-derived chemotaxin-2" "Bos taurus" "9913" "LeCT2" "1" "1"
"BSG" "Q865R3" "BSG" "Basigin (Fragment)" "Bos taurus" "9913" "BSG" "2" "1"
"PTGR1" "Q3SZJ4" "PTGR1" "Prostaglandin reductase 1" "Bos taurus" "9913" "PTGR1" "2" "1"
"eSD" "Q08e20" "eSD" "S-formylglutathione hydrolase" "Bos taurus" "9913" "eSD" "2" "1"
"IGLV7-46" "A0A075B6I9" "IGLV7-46" "Immunoglobulin lambda variable 7-46" "Homo sapiens" "9606" "IGLV7-46" "3" "4"
"HP" "Q2TBU0" "HP" "Haptoglobin" "Bos taurus" "9913" "HP" "2" "1"
"FBP1" "Q3SZB7" "FBP1" "Fructose-1.6-bisphosphatase 1" "Bos taurus" "9913" "FBP1" "2" "3"
"HNRNPF" "Q5e9J1" "HNRNPF" "Heterogeneous nuclear ribonucleoprotein F" "Bos taurus" "9913" "HNRNPF" "2" "3"
"KRT85" "P78386" "KRT85" "Keratin. type II cuticular Hb5" "Homo sapiens" "9606" "KRT85" "1" "1"
"AKR1A1" "Q3ZCJ2" "AKR1A1" "Aldo-keto reductase family 1 member A1" "Bos taurus" "9913" "AKR1A1" "2" "1"
"RAB39B" "Q17QU4" "RAB39B" "Ras-related protein Rab-39B" "Bos taurus" "9913" "RAB39B" "2" "1"
"IGKV1-17" "P01599" "IGKV1-17" "Immunoglobulin kappa variable 1-17" "Homo sapiens" "9606" "IGKV1-17" "1" "2"
"CSNK1D" "P35508" "CSNK1D" "Casein kinase I isoform delta" "Bos taurus" "9913" "CSNK1D" "2" "2"
"PLCG1" "Reverse_sp|P08487|PLCG1_BOVIN" "PLCG1" "1-phosphatidylinositol 4.5-bisphosphate phosphodiesterase gamma-1" "Bos taurus" "9913" "PLCG1" "1" "1"
"CCT6B" "Q3T084" "CCT6B" "T-complex protein 1 subunit zeta-2" "Bos taurus" "9913" "CCT6B" "2" "3"
"P18428" "P18428" "P18428" "Lipopolysaccharide-binding protein" "Homo sapiens" "9606" "LBP" "1" "3"
"IGHV2-70D" "A0A0C4DH43" "IGHV2-70D" "Immunoglobulin heavy variable 2-70D" "Homo sapiens" "9606" "IGHV2-70D" "3" "1"
"ALYReF" "Q3T0I4" "ALYReF" "THO complex subunit 4" "Bos taurus" "9913" "ALYReF" "2" "1"
"CNN2" "Q3SYU6" "CNN2" "Calponin-2" "Bos taurus" "9913" "CNN2" "2" "3"
"APOB" "P04114" "APOB" "Apolipoprotein B-100" "Homo sapiens" "9606" "APOB" "1" "2"
"GAMT" "Q2TBQ3" "GAMT" "Guanidinoacetate N-methyltransferase" "Bos taurus" "9913" "GAMT" "2" "1"
"PABPC1" "P61286" "PABPC1" "Polyadenylate-binding protein 1" "Bos taurus" "9913" "PABPC1" "2" "1"
"P02787" "P02787" "P02787" "Serotransferrin" "Homo sapiens" "9606" "TF" "1" "4"
"MICAL2" "F1MF74" "MICAL2" "[F-actin]-monooxygenase MICAL2" "Bos taurus" "9913" "MICAL2" "3" "3"
"IGLV7-43" "P04211" "IGLV7-43" "Immunoglobulin lambda variable 7-43" "Homo sapiens" "9606" "IGLV7-43" "3" "2"
"IGHV1-24" "A0A0C4DH33" "IGHV1-24" "Immunoglobulin heavy variable 1-24" "Homo sapiens" "9606" "IGHV1-24" "3" "1"
"RABeP2" "A4FUG8" "RABeP2" "Rab GTPase-binding effector protein 2" "Bos taurus" "9913" "RABeP2" "2" "1"
"IGHG1" "P01857" "IGHG1" "Immunoglobulin heavy constant gamma 1" "Homo sapiens" "9606" "IGHG1" "1" "2"
"HA1B" "P13753" "HA1B" "BOLA class I histocompatibility antigen. alpha chain BL3-7" "Bos taurus" "9913" NA "2" "1"
