"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"RAN" "Q3T054" "RAN" "GTP-binding nuclear protein Ran" "Bos taurus" "9913" "RAN" "2" "3"
"CRYZ" "O97764" "CRYZ" "Zeta-crystallin" "Bos taurus" "9913" "CRYZ" "2" "2"
"IGFBP1" "P24591" "IGFBP1" "Insulin-like growth factor-binding protein 1" "Bos taurus" "9913" "IGFBP1" "2" "2"
"SeRPINA6" "e1BF81" "SeRPINA6" "Corticosteroid-binding globulin" "Bos taurus" "9913" "SeRPINA6" "3" "1"
"MST1" "Q24K22" "MST1" "Hepatocyte growth factor-like protein" "Bos taurus" "9913" "MST1" "2" "1"
"H2AJ" "Q3ZBX9" "H2AJ" "Histone H2A.J" "Bos taurus" "9913" "H2AJ" "2" "1"
"GPX3" "P37141" "GPX3" "Glutathione peroxidase 3" "Bos taurus" "9913" "GPX3" "2" "2"
"TUBB2B" "Q6B856" "TUBB2B" "Tubulin beta-2B chain" "Bos taurus" "9913" "TUBB2B" "1" "2"
"PHGDH" "Q5eAD2" "PHGDH" "D-3-phosphoglycerate dehydrogenase" "Bos taurus" "9913" "PHGDH" "2" "3"
"CTSV" "Q5e998" "CTSV" "Cathepsin L2" "Bos taurus" "9913" "CTSV" "2" "1"
"C1QB" "Q2KIV9" "C1QB" "Complement C1q subcomponent subunit B" "Bos taurus" "9913" "C1QB" "1" "1"
"YWHAG" "P68252" "YWHAG" "14-3-3 protein gamma" "Bos taurus" "9913" "YWHAG" "1" "2"
"GNAO1" "P08239" "GNAO1" "Guanine nucleotide-binding protein G(o) subunit alpha" "Bos taurus" "9913" "GNAO1" "1" "4"
"CCN2" "O18739" "CCN2" "CCN family member 2" "Bos taurus" "9913" "CCN2" "2" "2"
"RPS10" "Q3T0F4" "RPS10" "Small ribosomal subunit protein eS10" "Bos taurus" "9913" "RPS10" "2" "1"
"PGM1" "Q08DP0" "PGM1" "Phosphoglucomutase-1" "Bos taurus" "9913" "PGM1" "2" "1"
"GSTM1" "Q9N0V4" "GSTM1" "Glutathione S-transferase Mu 1" "Bos taurus" "9913" "GSTM1" "1" "3"
"APRT" "Q56JW4" "APRT" "Adenine phosphoribosyltransferase" "Bos taurus" "9913" "APRT" "2" "1"
"TUBB4A" "Q3ZBU7" "TUBB4A" "Tubulin beta-4A chain" "Bos taurus" "9913" "TUBB4A" "1" "1"
"PABPC1" "P61286" "PABPC1" "Polyadenylate-binding protein 1" "Bos taurus" "9913" "PABPC1" "2" "1"
"PCBP1" "Q5e9A3" "PCBP1" "Poly(rC)-binding protein 1" "Bos taurus" "9913" "PCBP1" "2" "1"
"PNP" "P55859" "PNP" "Purine nucleoside phosphorylase" "Bos taurus" "9913" "PNP" "1" "3"
"WDR1" "Q2KJH4" "WDR1" "WD repeat-containing protein 1" "Bos taurus" "9913" "WDR1" "2" "3"
"SePTIN7" "Q6Q137" "SePTIN7" "Septin-7" "Bos taurus" "9913" "SePTIN7" "2" "2"
"PSMB4" "Q3T108" "PSMB4" "Proteasome subunit beta type-4" "Bos taurus" "9913" "PSMB4" "1" "1"
"PRDX1" "Q5e947" "PRDX1" "Peroxiredoxin-1" "Bos taurus" "9913" "PRDX1" "2" "1"
"eIF5A" "Q6eWQ7" "eIF5A" "eukaryotic translation initiation factor 5A-1" "Bos taurus" "9913" "eIF5A" "2" "3"
"SePTIN2" "Q2NKY7" "SePTIN2" "Septin-2" "Bos taurus" "9913" "SePTIN2" "2" "1"
"LOX" "P33072" "LOX" "Protein-lysine 6-oxidase" "Bos taurus" "9913" "LOX" "1" "3"
"GAPDHS" "Q2KJe5" "GAPDHS" "Glyceraldehyde-3-phosphate dehydrogenase, testis-specific" "Bos taurus" "9913" "GAPDHS" "2" "1"
"ARPC1B" "Q58CQ2" "ARPC1B" "Actin-related protein 2/3 complex subunit 1B" "Bos taurus" "9913" "ARPC1B" "1" "4"
"CNN2" "Q3SYU6" "CNN2" "Calponin-2" "Bos taurus" "9913" "CNN2" "2" "3"
"HNRNPF" "Q5e9J1" "HNRNPF" "Heterogeneous nuclear ribonucleoprotein F" "Bos taurus" "9913" "HNRNPF" "2" "3"
"CAH2" "P00921" "CAH2" "Carbonic anhydrase 2" "Bos taurus" "9913" "CA2" "1" "3"
"RAC2" "Q9TU25" "RAC2" "Ras-related C3 botulinum toxin substrate 2" "Bos taurus" "9913" "RAC2" "2" "1"
"TUBB6" "Q2HJ81" "TUBB6" "Tubulin beta-6 chain" "Bos taurus" "9913" "TUBB6" "1" "1"
"GPI" "Q3ZBD7" "GPI" "Glucose-6-phosphate isomerase" "Bos taurus" "9913" "GPI" "2" "4"
"CFD" "Q3T0A3" "CFD" "Complement factor D" "Bos taurus" "9913" "CFD" "2" "1"
"HSPA5" "Q0VCX2" "HSPA5" "endoplasmic reticulum chaperone BiP" "Bos taurus" "9913" "HSPA5" "2" "1"
"HeBP1" "Q148C9" "HeBP1" "Heme-binding protein 1" "Bos taurus" "9913" "HeBP1" "2" "1"
"SPP1" "P31096" "SPP1" "Osteopontin" "Bos taurus" "9913" "SPP1" "1" "2"
"P31098" "P31098" "P31098" "Osteopontin" "Bos taurus" "9913" "SPP1" "1" "2"
"GSTT1" "Q2NL00" "GSTT1" "Glutathione S-transferase theta-1" "Bos taurus" "9913" "GSTT1" "2" "3"
"FBP1" "Q3SZB7" "FBP1" "Fructose-1,6-bisphosphatase 1" "Bos taurus" "9913" "FBP1" "2" "3"
"eNO3" "Q3ZC09" "eNO3" "Beta-enolase" "Bos taurus" "9913" "eNO3" "2" "1"
"MYL9" "Q5e9e2" "MYL9" "Myosin regulatory light polypeptide 9" "Bos taurus" "9913" "MYL9" "2" "3"
"eSD" "Q08e20" "eSD" "S-formylglutathione hydrolase" "Bos taurus" "9913" "eSD" "2" "1"
"TPI1" "Q5e956" "TPI1" "Triosephosphate isomerase" "Bos taurus" "9913" "TPI1" "2" "3"
"GSTA2" "O18879" "GSTA2" "Glutathione S-transferase A2" "Bos taurus" "9913" "GSTA2" "2" "4"
"CDC42" "Q2KJ93" "CDC42" "Cell division control protein 42 homolog" "Bos taurus" "9913" "CDC42" "1" "1"
"GARIN1B" "Q2KIP3" "GARIN1B" "Golgi-associated RAB2 interactor protein 1B" "Bos taurus" "9913" "GARIN1B" "2" "1"
"eXT1" "A5D7I4" "eXT1" "exostosin-1" "Bos taurus" "9913" "eXT1" "2" "1"
"PTGR1" "Q3SZJ4" "PTGR1" "Prostaglandin reductase 1" "Bos taurus" "9913" "PTGR1" "2" "1"
"SePTIN8" "Q0VCP4" "SePTIN8" "Septin-8" "Bos taurus" "9913" "SePTIN8" "2" "3"
"H1-2" "P02253" "H1-2" "Histone H1.2" "Bos taurus" "9913" "H1-2" "1" "2"
"CBR1" "Q3SZD7" "CBR1" "Carbonyl reductase [NADPH] 1" "Bos taurus" "9913" "CBR1" "2" "1"
"RHOA" "P61585" "RHOA" "Transforming protein RhoA" "Bos taurus" "9913" "RHOA" "1" "1"
"CSN2" "P02666" "CSN2" "Beta-casein" "Bos taurus" "9913" "CSN2" "1" "2"
"ANXA3" "Q3SWX7" "ANXA3" "Annexin A3" "Bos taurus" "9913" "ANXA3" "2" "3"
"GSTA1" "Q28035" "GSTA1" "Glutathione S-transferase A1" "Bos taurus" "9913" "GSTA1" "2" "3"
"SLC2A1" "P27674" "SLC2A1" "Solute carrier family 2, facilitated glucose transporter member 1" "Bos taurus" "9913" "SLC2A1" "1" "1"
"UGDH" "P12378" "UGDH" "UDP-glucose 6-dehydrogenase" "Bos taurus" "9913" "UGDH" "1" "2"
"MAPRe1" "Q3ZBD9" "MAPRe1" "Microtubule-associated protein RP/eB family member 1" "Bos taurus" "9913" "MAPRe1" "2" "3"
"PGFS2" "P52897" "PGFS2" "Prostaglandin F synthase 2" "Bos taurus" "9913" NA "2" "1"
"PGFS1" "P05980" "PGFS1" "Prostaglandin F synthase 1" "Bos taurus" "9913" NA "1" "3"
"ATP6V1e1" "P11019" "ATP6V1e1" "V-type proton ATPase subunit e 1" "Bos taurus" "9913" "ATP6V1e1" "1" "1"
"S100A12" "P79105" "S100A12" "Protein S100-A12" "Bos taurus" "9913" "S100A12" "1" "3"
"SePTIN11" "A2Ve99" "SePTIN11" "Septin-11" "Bos taurus" "9913" "SePTIN11" "2" "1"
"TUBA8" "Q2HJB8" "TUBA8" "Tubulin alpha-8 chain" "Bos taurus" "9913" "TUBA8" "1" "1"
"PSMA2" "Q3T0Y5" "PSMA2" "Proteasome subunit alpha type-2" "Bos taurus" "9913" "PSMA2" "1" "3"
"HNRNPA2B1" "Q2HJ60" "HNRNPA2B1" "Heterogeneous nuclear ribonucleoproteins A2/B1" "Bos taurus" "9913" "HNRNPA2B1" "2" "1"
"eHD1" "Q5e9R3" "eHD1" "eH domain-containing protein 1" "Bos taurus" "9913" "eHD1" "1" "1"
"CORO1A" "Q92176" "CORO1A" "Coronin-1A" "Bos taurus" "9913" "CORO1A" "1" "3"
"CRIP2" "Q0VFX8" "CRIP2" "Cysteine-rich protein 2" "Bos taurus" "9913" "CRIP2" "2" "1"
"IGFBP4" "Q05716" "IGFBP4" "Insulin-like growth factor-binding protein 4" "Bos taurus" "9913" "IGFBP4" "2" "1"
"eIF4H" "Q1JPH6" "eIF4H" "eukaryotic translation initiation factor 4H" "Bos taurus" "9913" "eIF4H" "2" "1"
"CKM" "Q9XSC6" "CKM" "Creatine kinase M-type" "Bos taurus" "9913" "CKM" "1" "2"
"MAP10" "Reverse_sp|A3KMW7|MAP10_BOVIN" "MAP10" "Microtubule-associated protein 10" "Bos taurus" "9913" "MAP10" "2" "1"
"CTSC" "Q3ZCJ8" "CTSC" "Dipeptidyl peptidase 1" "Bos taurus" "9913" "CTSC" "2" "1"
"COLeC11" "Q17QH6" "COLeC11" "Collectin-11" "Bos taurus" "9913" "COLeC11" "2" "1"
"MGP" "P07507" "MGP" "Matrix Gla protein" "Bos taurus" "9913" "MGP" "1" "1"
"OSTF1" "Q8MJ50" "OSTF1" "Osteoclast-stimulating factor 1" "Bos taurus" "9913" "OSTF1" "2" "1"
"IGFBP6" "Q05718" "IGFBP6" "Insulin-like growth factor-binding protein 6" "Bos taurus" "9913" "IGFBP6" "2" "2"
"SeRPINH1" "Q2KJH6" "SeRPINH1" "Serpin H1" "Bos taurus" "9913" "SeRPINH1" "2" "1"
"ANG1" "P10152" "ANG1" "Angiogenin-1" "Bos taurus" "9913" "ANG1" "1" "4"
"FABP1" "P80425" "FABP1" "Fatty acid-binding protein, liver" "Bos taurus" "9913" "FABP1" "1" "1"
"HNRNPK" "Q3T0D0" "HNRNPK" "Heterogeneous nuclear ribonucleoprotein K" "Bos taurus" "9913" "HNRNPK" "2" "1"
"CST3" "P01035" "CST3" "Cystatin-C" "Bos taurus" "9913" "CST3" "1" "2"
"SBDS" "Q3SWZ6" "SBDS" "Ribosome maturation protein SBDS" "Bos taurus" "9913" "SBDS" "2" "1"
"CD44" "Q29423" "CD44" "CD44 antigen" "Bos taurus" "9913" "CD44" "2" "1"
"KRT222" "Q2KI75" "KRT222" "Keratin-like protein KRT222" "Bos taurus" "9913" "KRT222" "2" "1"
"ATP6V1D" "P39942" "ATP6V1D" "V-type proton ATPase subunit D" "Bos taurus" "9913" "ATP6V1D" "1" "1"
"OGN" "P19879" "OGN" "Mimecan" "Bos taurus" "9913" "OGN" "1" "3"
"ARPC2" "Q3MHR7" "ARPC2" "Actin-related protein 2/3 complex subunit 2" "Bos taurus" "9913" "ARPC2" "1" "1"
"ATIC" "Q0VCK0" "ATIC" "Bifunctional purine biosynthesis protein ATIC" "Bos taurus" "9913" "ATIC" "2" "1"
"BCL2L14" "Q5e9L4" "BCL2L14" "Apoptosis facilitator Bcl-2-like protein 14" "Bos taurus" "9913" "BCL2L14" "2" "1"
"TCN2" "Q9XSC9" "TCN2" "Transcobalamin-2" "Bos taurus" "9913" "TCN2" "1" "1"
"IGFBP5" "Q05717" "IGFBP5" "Insulin-like growth factor-binding protein 5" "Bos taurus" "9913" "IGFBP5" "2" "2"
"PLA1A" "Q5e9H0" "PLA1A" "Phospholipase A1 member A" "Bos taurus" "9913" "PLA1A" "2" "1"
"COLGALT1" "Reverse_sp|A5PK45|GT251_BOVIN" "COLGALT1" "Procollagen galactosyltransferase 1" "Bos taurus" "9913" "COLGALT1" "2" "1"
"MTAP" "Q3MHF7" "MTAP" "S-methyl-5'-thioadenosine phosphorylase" "Bos taurus" "9913" "MTAP" "1" "1"
"ASS1" "P14568" "ASS1" "Argininosuccinate synthase" "Bos taurus" "9913" "ASS1" "2" "1"
"GPR39" "Reverse_sp|B4XF06|GPR39_BOVIN" "GPR39" "G-protein coupled receptor 39" "Bos taurus" "9913" "GPR39" "2" "1"
"LeCT2" "O62644" "LeCT2" "Leukocyte cell-derived chemotaxin-2" "Bos taurus" "9913" "LeCT2" "1" "1"
"RPS18" "Q3T0R1" "RPS18" "Small ribosomal subunit protein uS13" "Bos taurus" "9913" "RPS18" "2" "3"
"MYL12B" "A4IF97" "MYL12B" "Myosin regulatory light chain 12B" "Bos taurus" "9913" "MYL12B" "2" "1"
"FKBP4" "Q9TRY0" "FKBP4" "Peptidyl-prolyl cis-trans isomerase FKBP4" "Bos taurus" "9913" "FKBP4" "1" "4"
"HSPB1" "Q3T149" "HSPB1" "Heat shock protein beta-1" "Bos taurus" "9913" "HSPB1" "2" "1"
"XPNPeP1" "Reverse_sp|Q1JPJ2|XPP1_BOVIN" "XPNPeP1" "Xaa-Pro aminopeptidase 1" "Bos taurus" "9913" "XPNPeP1" "2" "1"
"MAeA" "Q3MHJ2" "MAeA" "e3 ubiquitin-protein transferase MAeA" "Bos taurus" "9913" "MAeA" "2" "1"
"AHSA2" "Reverse_sp|A6QQC0|AHSA2_BOVIN" "AHSA2" "Activator of 90 kDa heat shock protein ATPase homolog 2" "Bos taurus" "9913" "AHSA2" "2" "1"
"NOSTRIN" "Q2KJB5" "NOSTRIN" "Nostrin" "Bos taurus" "9913" "NOSTRIN" "1" "1"
"TNFAIP8L2" "Q3ZBK5" "TNFAIP8L2" "Tumor necrosis factor alpha-induced protein 8-like protein 2" "Bos taurus" "9913" "TNFAIP8L2" "2" "1"
"OMD" "O77742" "OMD" "Osteomodulin" "Bos taurus" "9913" "OMD" "1" "1"
"DNM1L" "Q2KIA5" "DNM1L" "Dynamin-1-like protein" "Bos taurus" "9913" "DNM1L" "2" "1"
"NMe2" "Q3T0Q4" "NMe2" "Nucleoside diphosphate kinase B" "Bos taurus" "9913" "NMe2" "1" "1"
"ARHGDIB" "Q9TU03" "ARHGDIB" "Rho GDP-dissociation inhibitor 2" "Bos taurus" "9913" "ARHGDIB" "2" "3"
"MAML2" "A5D7F6" "MAML2" "Mastermind-like protein 2" "Bos taurus" "9913" "MAML2" "2" "1"
"ITGB1" "P53712" "ITGB1" "Integrin beta-1" "Bos taurus" "9913" "ITGB1" "1" "3"
"FMOD" "P13605" "FMOD" "Fibromodulin" "Bos taurus" "9913" "FMOD" "1" "2"
"HBe2" "P06642" "HBe2" "Hemoglobin subunit epsilon-2" "Bos taurus" "9913" "HBe2" "2" "2"
"SPON1" "Q9GLX9" "SPON1" "Spondin-1" "Bos taurus" "9913" "SPON1" "1" "1"
"VDAC1" "P45879" "VDAC1" "Voltage-dependent anion-selective channel protein 1" "Bos taurus" "9913" "VDAC1" "1" "3"
"MYH7" "Q9Be39" "MYH7" "Myosin-7" "Bos taurus" "9913" "MYH7" "1" "1"
"eBD" "O02775" "eBD" "enteric beta-defensin" "Bos taurus" "9913" "eBD" "2" "1"
"HSPA2" "P34933" "HSPA2" "Heat shock-related 70 kDa protein 2" "Bos taurus" "9913" "HSPA2" "2" "2"
"UBC" "P0CH28" "UBC" "Polyubiquitin-C" "Bos taurus" "9913" "UBC" "1" "1"
"CFAP210" "e1BJL9" "CFAP210" "Cilia- and flagella- associated protein 210" "Bos taurus" "9913" "CFAP210" "1" "3"
"RHOC" "Q1RMJ6" "RHOC" "Rho-related GTP-binding protein RhoC" "Bos taurus" "9913" "RHOC" "2" "1"
"CA3" "Q3SZX4" "CA3" "Carbonic anhydrase 3" "Bos taurus" "9913" "CA3" "2" "3"
"SNRPD1" "Q3ZC10" "SNRPD1" "Small nuclear ribonucleoprotein Sm D1" "Bos taurus" "9913" "SNRPD1" "3" "1"
"PNPO" "Q5e9K3" "PNPO" "Pyridoxine-5'-phosphate oxidase" "Bos taurus" "9913" "PNPO" "2" "1"
"RPS20" "Q3ZBH8" "RPS20" "Small ribosomal subunit protein uS10" "Bos taurus" "9913" "RPS20" "1" "1"
"RAB5C" "Q58DS9" "RAB5C" "Ras-related protein Rab-5C" "Bos taurus" "9913" "RAB5C" "2" "1"
"UBe2M" "A3KN22" "UBe2M" "NeDD8-conjugating enzyme Ubc12" "Bos taurus" "9913" "UBe2M" "2" "1"
"CTNNB1" "Q0VCX4" "CTNNB1" "Catenin beta-1" "Bos taurus" "9913" "CTNNB1" "1" "1"
"ANKRD54" "Q1LZC5" "ANKRD54" "Ankyrin repeat domain-containing protein 54" "Bos taurus" "9913" "ANKRD54" "2" "1"
"SeRPINA3-3" "Q3ZeJ6" "SeRPINA3-3" "Serpin A3-3" "Bos taurus" "9913" "SeRPINA3-3" "1" "2"
"COQ6" "Q2KIL4" "COQ6" "Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial" "Bos taurus" "9913" "COQ6" "2" "2"
"RAB6B" "A6QR46" "RAB6B" "Ras-related protein Rab-6B" "Bos taurus" "9913" "RAB6B" "2" "1"
"RDX" "Q32LP2" "RDX" "Radixin" "Bos taurus" "9913" "RDX" "2" "1"
"RHOB" "Q3ZBW5" "RHOB" "Rho-related GTP-binding protein RhoB" "Bos taurus" "9913" "RHOB" "2" "1"
"BPIFB1" "Q8SPF8" "BPIFB1" "BPI fold-containing family B member 1" "Bos taurus" "9913" "BPIFB1" "2" "1"
"ACTC1" "Q3ZC07" "ACTC1" "Actin, alpha cardiac muscle 1" "Bos taurus" "9913" "ACTC1" "1" "1"
"APP" "Q28053" "APP" "Amyloid-beta precursor protein (Fragment)" "Bos taurus" "9913" "APP" "2" "1"
"eeF1D" "A5D989" "eeF1D" "elongation factor 1-delta" "Bos taurus" "9913" "eeF1D" "2" "2"
"COL2A1" "P02459" "COL2A1" "Collagen alpha-1(II) chain" "Bos taurus" "9913" "COL2A1" "1" "4"
"RAB27B" "Q8HZJ5" "RAB27B" "Ras-related protein Rab-27B" "Bos taurus" "9913" "RAB27B" "2" "3"
"CRYAB" "P02510" "CRYAB" "Alpha-crystallin B chain" "Bos taurus" "9913" "CRYAB" "1" "2"
"GNAI1" "P63097" "GNAI1" "Guanine nucleotide-binding protein G(i) subunit alpha-1" "Bos taurus" "9913" "GNAI1" "1" "2"
"ANP32B" "Q3SZC6" "ANP32B" "Acidic leucine-rich nuclear phosphoprotein 32 family member B" "Bos taurus" "9913" "ANP32B" "2" "1"
"UTP15" "A7MB12" "UTP15" "U3 small nucleolar RNA-associated protein 15 homolog" "Bos taurus" "9913" "UTP15" "2" "1"
"DRC7" "Q2T9M4" "DRC7" "Dynein regulatory complex subunit 7" "Bos taurus" "9913" "DRC7" "2" "1"
"K2C4" "P04260" "K2C4" "Keratin, type II cytoskeletal 59 kDa, component IV (Fragment)" "Bos taurus" "9913" NA "2" "1"
"CD47" "Q9N0K1" "CD47" "Leukocyte surface antigen CD47" "Bos taurus" "9913" "CD47" "2" "1"
"CATHL2" "P19660" "CATHL2" "Cathelicidin-2" "Bos taurus" "9913" "CATHL2" "1" "2"
"GDF6" "P55106" "GDF6" "Growth/differentiation factor 6" "Bos taurus" "9913" "GDF6" "2" "2"
"KRT78" "A6QNX5" "KRT78" "Keratin, type II cytoskeletal 78" "Bos taurus" "9913" "KRT78" "2" "1"
"PLeKHA2" "Q3ZBA3" "PLeKHA2" "Pleckstrin homology domain-containing family A member 2" "Bos taurus" "9913" "PLeKHA2" "2" "1"
"SeLeNOK" "Q32Pe3" "SeLeNOK" "Selenoprotein K" "Bos taurus" "9913" "SeLeNOK" "3" "3"
"IMP4" "Reverse_sp|Q0VD01|IMP4_BOVIN" "IMP4" "U3 small nucleolar ribonucleoprotein protein IMP4" "Bos taurus" "9913" "IMP4" "2" "1"
"SLC15A4" "A6QQL0" "SLC15A4" "Solute carrier family 15 member 4" "Bos taurus" "9913" "SLC15A4" "2" "2"
"PReLID1" "Q32KN9" "PReLID1" "PReLI domain-containing protein 1, mitochondrial" "Bos taurus" "9913" "PReLID1" "2" "1"
"RPL12" "P61284" "RPL12" "Large ribosomal subunit protein uL11" "Bos taurus" "9913" "RPL12" "2" "1"
"GTF2I" "Reverse_sp|A7MB80|GTF2I_BOVIN" "GTF2I" "General transcription factor II-I" "Bos taurus" "9913" "GTF2I" "2" "1"
"TMSB10" "P21752" "TMSB10" "Thymosin beta-10" "Bos taurus" "9913" "TMSB10" "1" "2"
"IDH1" "Q9XSG3" "IDH1" "Isocitrate dehydrogenase [NADP] cytoplasmic" "Bos taurus" "9913" "IDH1" "2" "1"
"PPP1CB" "Q3SWW9" "PPP1CB" "Serine/threonine-protein phosphatase PP1-beta catalytic subunit" "Bos taurus" "9913" "PPP1CB" "2" "1"
"UBA52" "P63048" "UBA52" "Ubiquitin-ribosomal protein eL40 fusion protein" "Bos taurus" "9913" "UBA52" "1" "2"
"POLR3A" "A4IF62" "POLR3A" "DNA-directed RNA polymerase III subunit RPC1" "Bos taurus" "9913" "POLR3A" "2" "1"
"GNB1" "P62871" "GNB1" "Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1" "Bos taurus" "9913" "GNB1" "1" "3"
"PSMA7" "Q3ZBG0" "PSMA7" "Proteasome subunit alpha type-7" "Bos taurus" "9913" "PSMA7" "1" "1"
"RAB8B" "Q2HJI8" "RAB8B" "Ras-related protein Rab-8B" "Bos taurus" "9913" "RAB8B" "2" "1"
"MeD30" "Q2YDF2" "MeD30" "Mediator of RNA polymerase II transcription subunit 30" "Bos taurus" "9913" "MeD30" "2" "1"
"TALDO1" "Q2TBL6" "TALDO1" "Transaldolase" "Bos taurus" "9913" "TALDO1" "2" "1"
"KRT35" "Q0P5J7" "KRT35" "Keratin, type I cuticular Ha5" "Bos taurus" "9913" "KRT35" "2" "2"
"GMFG" "Q56JZ9" "GMFG" "Glia maturation factor gamma" "Bos taurus" "9913" "GMFG" "2" "1"
"HNRNPA1" "P09867" "HNRNPA1" "Heterogeneous nuclear ribonucleoprotein A1" "Bos taurus" "9913" "HNRNPA1" "1" "2"
"KRT81" "Q148H4" "KRT81" "Keratin, type II cuticular Hb1" "Bos taurus" "9913" "KRT81" "2" "1"
"GPLD1" "P80109" "GPLD1" "Phosphatidylinositol-glycan-specific phospholipase D" "Bos taurus" "9913" "GPLD1" "1" "1"
"eIF4A1" "Q3SZ54" "eIF4A1" "eukaryotic initiation factor 4A-I" "Bos taurus" "9913" "eIF4A1" "2" "1"
"ATP5F1B" "P00829" "ATP5F1B" "ATP synthase subunit beta, mitochondrial" "Bos taurus" "9913" "ATP5F1B" "1" "2"
"PKP1" "Q28161" "PKP1" "Plakophilin-1" "Bos taurus" "9913" "PKP1" "2" "1"
"KRT83" "A4FUZ0" "KRT83" "Keratin, type II cuticular Hb3" "Bos taurus" "9913" "KRT83" "2" "1"
"SFN" "Q0VC36" "SFN" "14-3-3 protein sigma" "Bos taurus" "9913" "SFN" "2" "1"
"MRPS24" "Reverse_sp|Q2M2T7|RT24_BOVIN" "MRPS24" "Small ribosomal subunit protein uS3m" "Bos taurus" "9913" "MRPS24" "1" "1"
"GIMD1" "G3MZQ6" "GIMD1" "GTPase IMAP family member GIMD1" "Bos taurus" "9913" "GIMD1" "3" "1"
"PDIA4" "Q29RV1" "PDIA4" "Protein disulfide-isomerase A4" "Bos taurus" "9913" "PDIA4" "2" "1"
"RAP1A" "P62833" "RAP1A" "Ras-related protein Rap-1A" "Bos taurus" "9913" "RAP1A" "1" "1"
"HP251" "Q2KIX7" "HP251" "Protein HP-25 homolog 1" "Bos taurus" "9913" NA "1" "1"
"HP1BP3" "Q08DU9" "HP1BP3" "Heterochromatin protein 1-binding protein 3" "Bos taurus" "9913" "HP1BP3" "2" "1"
"ACCS" "Q5e9H2" "ACCS" "1-aminocyclopropane-1-carboxylate synthase-like protein 1" "Bos taurus" "9913" "ACCS" "2" "1"
"ANXA6" "P79134" "ANXA6" "Annexin A6" "Bos taurus" "9913" "ANXA6" "1" "2"
"H3-3A" "P84227" "H3-3A" "Histone H3.3" "Bos taurus" "9913" "H3-3A" "1" "3"
"UMOD" "P48733" "UMOD" "Uromodulin" "Bos taurus" "9913" "UMOD" "2" "1"
"CHCT1" "Q32KP7" "CHCT1" "CHD1 helical C-terminal domain containing protein 1" "Bos taurus" "9913" "CHCT1" "2" "2"
"RPL30" "Q3T0D5" "RPL30" "Large ribosomal subunit protein eL30" "Bos taurus" "9913" "RPL30" "3" "3"
"eXT2" "O77783" "eXT2" "exostosin-2" "Bos taurus" "9913" "eXT2" "1" "1"
"ACO1" "Q0VCU1" "ACO1" "Cytoplasmic aconitate hydratase" "Bos taurus" "9913" "ACO1" "2" "1"
"MX2" "Q9BDI7" "MX2" "Interferon-induced GTP-binding protein Mx2" "Bos taurus" "9913" "MX2" "2" "1"
"SNRPN" "Q17QN3" "SNRPN" "Small nuclear ribonucleoprotein-associated protein N" "Bos taurus" "9913" "SNRPN" "2" "1"
"RPL7" "Q58DT1" "RPL7" "Large ribosomal subunit protein uL30" "Bos taurus" "9913" "RPL7" "2" "1"
"PSMB2" "Q5e9K0" "PSMB2" "Proteasome subunit beta type-2" "Bos taurus" "9913" "PSMB2" "1" "1"
"LAP3" "P00727" "LAP3" "Cytosol aminopeptidase" "Bos taurus" "9913" "LAP3" "1" "3"
"TYROBP" "Q95J79" "TYROBP" "TYRO protein tyrosine kinase-binding protein" "Bos taurus" "9913" "TYROBP" "3" "1"
"TUBA3" "Q32KN8" "TUBA3" "Tubulin alpha-3 chain" "Bos taurus" "9913" "TUBA3" "1" "1"
"CNP" "P06623" "CNP" "2',3'-cyclic-nucleotide 3'-phosphodiesterase" "Bos taurus" "9913" "CNP" "1" "2"
"TAF7" "Q2HJG8" "TAF7" "Transcription initiation factor TFIID subunit 7" "Bos taurus" "9913" "TAF7" "2" "1"
"HBe4" "P06643" "HBe4" "Hemoglobin subunit epsilon-4" "Bos taurus" "9913" "HBe4" "2" "2"
"CSNK1D" "P35508" "CSNK1D" "Casein kinase I isoform delta" "Bos taurus" "9913" "CSNK1D" "2" "2"
"CLTC" "P49951" "CLTC" "Clathrin heavy chain 1" "Bos taurus" "9913" "CLTC" "1" "1"
"ACTN3" "Q0III9" "ACTN3" "Alpha-actinin-3" "Bos taurus" "9913" "ACTN3" "2" "1"
"DAW1" "Q0P593" "DAW1" "Dynein assembly factor with WD repeat domains 1" "Bos taurus" "9913" "DAW1" "2" "1"
"VAMP2" "P63026" "VAMP2" "Vesicle-associated membrane protein 2" "Bos taurus" "9913" "VAMP2" "1" "2"
"CRYBB1" "P07318" "CRYBB1" "Beta-crystallin B1" "Bos taurus" "9913" "CRYBB1" "1" "3"
"KRT40" "A7YWM2" "KRT40" "Keratin, type I cytoskeletal 40" "Bos taurus" "9913" "KRT40" "2" "1"
"TUBA1C" "Q3ZCJ7" "TUBA1C" "ubulin alpha-1C chain" "Bos taurus" "9913" "TUBA1C" "1" "1"
"PDLIM1" "Q5e9e1" "PDLIM1" "PDZ and LIM domain protein 1" "Bos taurus" "9913" "PDLIM1" "2" "3"
"PSMB1" "Q2TBX6" "PSMB1" "Proteasome subunit beta type-1" "Bos taurus" "9913" "PSMB1" "1" "1"
