"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"RAB8A" 0.8450154 0.8450154 0.61435854 NA 0.7619761 0.70608246 NA NA NA NA 0.32129562 NA
"F12" 0.19398808 0.18576872 0.20226443 NA 0.11173177 0.11173177 NA NA NA 0.14024973 0.15877736 NA
"CSRP1" 2.372873 0.4996848 0.4996848 NA 0.46554792 0.7538805 NA NA NA NA 0.22461617 NA
"NACA" 0.566751 0.6032454 0.33659554 NA 0.566751 0.9010782 NA NA NA 0.36458313 0.33659554 0.566751
"GGH" 0.4689263 0.8793168 0.5776112 NA 0.4689263 0.39636838 NA 0.18850219 NA NA 0.39636838 NA
"KRT71" 0.22461617 0.17489755 0.18576872 NA 0.17219532 0.17489755 NA NA NA 0.16680968 0.18576872 NA
"B4GALT1" 0.4190575 0.4927944 0.4927944 NA 0.18850219 0.08893013 NA NA NA NA NA NA
"CD9" 0.22461617 0.8071741 0.599558 NA 0.733804 0.733804 NA NA NA 0.22461617 0.38675582 NA
"RAB11B" 1.6424088 0.9678863 0.98609483 NA 0.98609483 0.98609483 NA NA NA 0.40281367 0.77010894 0.4321879
"RGN" 0.72583795 0.45881426 0.8793168 NA 0.25892544 0.44877183 NA 0.19398808 0.3614447 0.14024973 0.7660378 0.5170504
"CAPNS1" 4.420009 4.272298 2.9536662 NA 0.86208713 0.4321879 NA NA 0.18032062 0.18032062 0.25602996 1.8119009
"C7" 0.7988709 0.5275661 0.47231245 NA 0.3614447 0.30316675 NA NA 0.061695576 0.7538805 0.77010894 0.46554792
"HSP90AB1" 1.5941794 1.0511622 0.9498446 NA 1.2490547 1.0464447 NA NA 0.12460494 0.47910845 0.73780084 0.7179084
"HMGB1" 1.4831331 0.5848932 1.1379621 NA 0.81970084 0.81970084 NA NA NA 1.3823195 1.1379621 0.9633602
"TRAP1" 0.096478224 0.11686325 0.096478224 NA 0.096478224 0.096478224 NA NA NA 0.096478224 NA NA
"YWHAH" NA NA 0.41253757 NA 0.455459 0.58124804 NA NA NA 0.42560756 0.4689263 NA
"FTL" 0.503142 0.93196833 0.7823788 NA 0.503142 0.503142 NA NA NA 0.503142 1.118361 0.7823788
"PRDX2" 0.53461695 1.2750974 0.53461695 NA 0.8450154 0.24451458 NA 0.23026884 NA 0.23026884 NA NA
"CAP1" 0.54525447 0.455459 0.61435854 NA 0.18032062 0.2882495 0.09144032 0.33967674 NA NA 0.7538805 0.53461695
"ARF4" 1.9648314 1.6121614 1.7101917 NA 1.6121614 1.8906798 NA 0.30918193 0.30918193 0.56314766 0.9952624 0.8492687
"KRT25" 0.22743917 NA 0.13762724 NA 0.20781386 0.13762724 NA NA NA 0.17219532 0.17760599 0.19674051
"MSN" 0.40928876 0.22461617 NA NA 0.23594749 0.19124198 NA NA NA 0.27643883 0.27938128 NA
"KRT27" 0.22179961 0.36458313 0.1324004 NA 0.20226443 0.1324004 NA NA NA NA 0.17489755 0.19124198
"KRT19" 0.44543982 0.31825674 0.44543982 NA 0.52405274 0.6069412 NA 0.21059811 NA 0.36458313 0.50660706 0.3273945
"CATHL4" 0.29121923 0.29121923 0.29121923 NA 1.3334582 1.118361 NA NA NA 0.7498466 0.56314766 0.29121923
"GDI1" NA NA 0.599558 NA 0.3273945 0.2618276 NA NA NA NA NA 0.20503592
"CTSD" 0.47570658 0.23026884 0.29717934 NA 0.57398295 0.10662377 NA NA 0.10662377 NA 0.29717934 0.32129562
"GDI2" 2.5727282 2.5892193 2.6643758 NA 0.29419577 0.25025904 NA NA NA NA 0.24165225 0.17489755
"TIMP3" 0.9906733 NA 0.10407865 NA 0.1271975 0.25892544 NA NA NA NA NA NA
"HP252" 0.17489755 0.3489629 0.14815366 NA 0.17489755 0.17489755 NA NA NA 0.3489629 0.17489755 NA
"KRT72" 0.20781386 0.20781386 NA NA 0.19124198 0.24165225 NA NA NA NA NA NA
"PPIe" 0.27643883 NA 0.30617094 NA 0.1561122 0.1561122 NA NA NA 0.31825674 0.18304157 NA
"PeBP1" 2.6391504 1.8119009 1.8119009 NA 0.5205476 0.5205476 NA NA NA NA 0.5205476 NA
"DSC1" NA 0.04712856 NA NA 0.04712856 0.028016329 NA NA NA NA NA NA
"KRT20" 0.10407865 0.11429453 NA NA 0.11429453 0.20503592 NA NA NA NA NA NA
"CHAD" 0.38356638 0.3335215 0.3335215 NA NA NA NA 0.12201846 0.32434154 NA NA NA
"CL43" 0.6634127 NA 0.61808 NA 0.096478224 0.3708818 NA NA NA 0.72583795 0.67494285 0.25025904
"MYH10" 0.21898961 0.21618605 0.13501084 NA NA 0.049542427 NA NA NA NA 0.18576872 0.05681753
"LBP" 0.17219532 0.17219532 0.15877736 NA NA 0.11686325 NA NA 0.101539254 0.101539254 0.054386854 0.21618605
"eZR" 0.33659554 0.34586036 0.27938128 NA NA 0.1614486 NA 0.06905484 NA 0.29419577 NA NA
"COMP" 0.24451458 0.19398808 0.30316675 NA NA 0.10662377 NA NA 0.061695576 NA 0.19949937 NA
"GSTP1" 1.1527817 0.4689263 1.1527817 NA NA 0.8281002 NA NA NA NA 1.1527817 NA
"LGALS3BP" NA NA NA NA NA 0.21898961 NA 0.18032062 NA NA 0.27350307 0.1324004
"AKR1A1" 0.37404191 0.7864876 0.5848932 NA NA 0.11173177 NA NA NA NA 0.11173177 NA
"RAN" 0.72186863 1.5527012 1.6668587 NA 0.6865531 NA NA NA NA NA 1.0230191 NA
"CRYZ" NA NA NA 0.071519256 0.071519256 NA NA NA 0.071519256 NA NA NA
"IGFBP1" 0.54881656 0.53461695 0.6634127 NA NA NA NA NA NA NA NA NA
"SeRPINA6" 0.28528666 0.31522477 0.2705741 NA NA 0.22179961 NA 0.1271975 NA 0.19398808 0.3614447 0.22179961
"MST1" 0.37404191 0.34586036 0.40928876 0.08143401 NA 0.101539254 0.14815366 0.1561122 NA NA 0.101539254 0.032761455
"H2AJ" 0.86637974 0.64816236 0.86637974 0.40281367 NA 0.86637974 0.40281367 0.40281367 0.40281367 NA NA 0.40281367
"GPX3" 0.47231245 NA NA NA NA 0.18850219 NA NA NA NA 0.91866875 NA
"TUBB2B" 1.3227367 NA NA NA 1.5234809 NA NA NA 0.0519619 NA 1.6302679 NA
"PHGDH" 0.11943793 0.10917485 0.19949937 NA NA 0.06659615 NA NA NA NA 0.06659615 NA
"CTSV" 1.77332 2.4833732 2.250873 NA NA 0.101539254 0.16412604 0.22179961 NA NA 0.101539254 NA
"C1QB" 1.2908678 1.9241524 1.2490547 NA NA 0.15080035 0.22743917 0.22743917 NA NA 0.50660706 NA
"YWHAG" NA 0.65576994 0.41253757 NA NA 0.3489629 NA NA NA NA NA 0.30918193
"GNAO1" 0.18304157 NA NA NA NA 0.1614486 NA NA NA NA NA NA
"CCN2" NA NA 0.21059811 NA NA 0.11173177 NA NA NA NA NA NA
"RPS10" 0.13501084 NA 0.13501084 NA 0.13501084 NA NA NA NA NA NA NA
"PGM1" 0.10662377 0.2882495 0.39315677 NA NA NA NA NA NA NA NA NA
"GSTM1" 0.30316675 0.30316675 0.30316675 NA NA NA NA NA NA NA NA NA
"APRT" 0.89670587 0.89670587 1.3280914 NA NA NA NA NA NA NA NA NA
"TUBB4A" 1.1086283 0.62929606 NA NA 0.8749945 NA NA NA 0.054386854 NA NA NA
"PABPC1" 0.06414306 0.19949937 NA NA 0.2647363 NA NA NA NA NA NA NA
"PCBP1" 0.30316675 NA NA NA 0.80301774 NA NA NA NA NA NA NA
"PNP" 0.4190575 0.46554792 0.3520726 NA NA NA NA NA NA NA NA NA
"WDR1" 0.054386854 NA NA NA 0.054386854 NA NA NA NA NA 0.054386854 NA
"SePTIN7" 0.62554884 0.47570658 0.19124198 NA NA NA 0.22743917 NA NA NA NA NA
"PSMB4" 0.4190575 0.4190575 NA NA NA NA NA NA NA NA NA NA
"PRDX1" NA 0.38356638 NA NA 0.12201846 NA NA NA NA NA NA NA
"eIF5A" 0.36772883 NA 0.19674051 NA 0.566751 NA NA NA 0.5205476 NA NA NA
"SePTIN2" 0.6982436 0.40281367 0.44877183 NA 0.19674051 NA NA NA NA NA NA NA
"LOX" 0.15345323 0.2882495 0.30918193 NA NA NA NA NA NA NA NA NA
"GAPDHS" NA NA 0.2133888 NA 0.2133888 NA NA NA NA 0.2133888 NA 0.23310483
"ARPC1B" 0.599558 0.7579236 0.4321879 NA NA NA NA NA NA NA NA NA
"CNN2" 0.27938128 0.27938128 0.27938128 NA NA NA NA NA NA NA NA NA
"HNRNPF" NA NA NA NA 0.09900582 NA NA NA NA NA NA NA
"CAH2" 0.599558 0.21618605 NA NA 0.5848932 NA NA NA NA 0.21618605 0.42560756 0.64058983
"RAC2" 0.6368165 0.7988709 1.0796967 NA NA NA NA NA NA NA 0.44877183 0.1271975
"TUBB6" NA NA NA NA 0.64058983 NA NA NA NA NA 0.8578044 0.633052
"GPI" 0.2705741 0.14024973 0.07398939 NA 0.07398939 NA NA NA NA 0.11429453 0.14024973 0.07398939
"CFD" 1.22331 1.0370419 1.3713737 NA 0.2705741 NA NA NA NA 0.40281367 0.7498466 0.89670587
"HSPA5" NA NA NA NA 0.4927944 NA NA NA NA NA NA NA
"HeBP1" 0.87068224 NA 0.599558 NA NA NA NA NA NA NA NA NA
"SPP1" 0.11429453 NA 0.2705741 NA NA NA NA NA NA 0.2705741 NA NA
"P31098" 0.11429453 NA 0.27350307 NA NA NA NA NA NA 0.27350307 NA NA
"GSTT1" 0.35831344 0.37404191 0.35831344 0.19949937 NA NA NA 0.19949937 NA NA NA NA
"FBP1" 0.29419577 NA 0.21898961 NA NA NA NA NA NA NA NA NA
"eNO3" 0.62929606 0.6218101 NA 0.19674051 NA NA NA NA NA NA 0.45881426 NA
"MYL9" 0.5958791 NA 0.6634127 NA NA NA NA NA NA NA 0.5958791 NA
"eSD" 0.4689263 1.3933158 0.6069412 NA NA NA NA NA NA NA 0.2882495 NA
"TPI1" 1.6668587 0.74180686 0.72583795 NA 0.34586036 NA NA NA NA 0.20226443 0.57398295 0.20226443
"GSTA2" 0.8793168 0.55955243 0.5100801 NA NA NA 0.1428783 NA NA NA NA NA
"CDC42" NA 0.64058983 0.43548942 NA NA NA NA 0.22743917 NA NA NA NA
"GARIN1B" NA NA 0.23026884 NA NA NA NA NA NA NA NA NA
"eXT1" 0.8238957 1.0090928 0.3335215 NA NA NA NA NA NA NA NA NA
"PTGR1" 0.599558 0.27643883 0.566751 NA NA NA 0.17489755 0.17489755 NA NA 0.3520726 NA
"SePTIN8" 0.08642566 0.19398808 0.12201846 NA NA NA NA NA NA NA NA NA
"H1-2" 0.41253757 0.41253757 0.41253757 NA 0.42889392 NA NA NA NA NA NA NA
"CBR1" 0.3708818 0.58124804 0.58124804 NA NA NA NA NA NA NA 0.1324004 NA
"RHOA" 0.55596566 0.19674051 0.39636838 NA 0.46554792 NA NA NA NA NA NA NA
"CSN2" 0.70608246 0.21618605 0.21618605 NA 0.4321879 NA NA NA 0.21618605 0.4321879 NA 0.21618605
"ANXA3" 0.32129562 0.1614486 0.06659615 NA 0.1614486 NA NA NA NA NA NA NA
"GSTA1" 0.32434154 NA NA NA NA NA 0.14551294 NA 0.2705741 NA NA NA
"SLC2A1" 0.19398808 0.2647363 0.32434154 0.10917485 0.19398808 NA NA NA NA 0.15080035 0.19398808 0.14551294
"UGDH" NA 0.04231739 0.04231739 NA NA NA NA 0.09144032 NA NA NA NA
"MAPRe1" NA 0.17760599 NA NA NA NA NA NA NA NA NA NA
"PGFS2" 0.52405274 NA NA NA NA NA NA NA NA NA NA NA
"PGFS1" 0.52405274 NA NA NA NA NA NA NA NA NA NA NA
"ATP6V1e1" 0.23879659 NA 0.41253757 NA NA NA NA NA NA NA NA NA
"S100A12" 2.1622777 1.5234809 1.0137241 NA NA NA NA NA NA NA NA NA
"SePTIN11" 0.1324004 0.1324004 NA NA NA NA NA NA NA NA NA NA
"TUBA8" NA NA NA NA 0.8879913 NA NA NA NA NA 1.0276828 0.69433784
"PSMA2" 0.23026884 0.23026884 NA NA NA NA NA NA NA NA NA NA
"HNRNPA2B1" 0.38356638 0.39315677 0.23310483 NA 0.16680968 NA NA NA NA NA NA NA
"eHD1" 0.28528666 0.1428783 0.1428783 NA NA NA NA NA NA NA 0.049542427 NA
"CORO1A" 0.25892544 0.51356125 0.6069412 NA NA NA 0.11173177 0.11173177 NA NA 0.20781386 NA
"CRIP2" 0.37720942 NA NA NA NA NA NA NA NA NA NA NA
"IGFBP4" 0.936422 0.56314766 0.8365383 NA NA NA NA NA NA NA NA NA
"eIF4H" 0.14024973 0.39636838 0.14024973 NA NA NA NA NA NA NA NA NA
"CKM" 0.6710906 0.54525447 0.53461695 0.14815366 NA NA NA NA NA 0.09395635 0.14815366 0.14815366
"MAP10" NA 0.061695576 0.08143401 NA NA NA NA NA NA 0.08642566 NA NA
"CTSC" 0.25025904 0.25602996 0.29419577 NA NA NA NA NA NA NA 0.43879855 0.12201846
"COLeC11" NA 0.29419577 0.17760599 NA NA NA NA NA NA 0.17760599 0.70608246 0.17760599
"MGP" 0.9543395 NA 0.7100153 NA NA NA NA NA 0.33659554 NA 0.33659554 NA
"OSTF1" 0.5205476 0.13762724 0.39636838 NA NA NA 0.13762724 NA NA NA NA 0.39636838
"IGFBP6" 0.53461695 0.53461695 0.936422 NA NA NA 0.1561122 0.1561122 0.1561122 NA NA NA
"SeRPINH1" 0.23310483 0.15345323 NA NA NA NA NA NA NA NA NA NA
"ANG1" 0.6982436 0.42889392 0.6982436 NA NA NA NA NA NA NA NA NA
"FABP1" 0.81970084 NA 0.72186863 NA NA NA NA NA NA 0.2882495 0.72186863 NA
"HNRNPK" 0.39315677 0.29419577 0.4859357 NA NA NA NA NA NA NA NA NA
"CST3" 1.4660394 0.7498466 1.7039585 NA NA NA 0.54525447 1.3173947 1.7478943 0.30316675 NA NA
"SBDS" NA NA 0.1694994 NA NA NA NA NA NA NA NA NA
"CD44" 0.17760599 NA NA NA NA NA NA NA NA NA 0.14024973 0.07894671
"KRT222" NA 0.12460494 0.21618605 NA NA NA NA NA NA NA 0.12460494 NA
"ATP6V1D" 0.81551564 0.81551564 0.6069412 NA NA NA NA NA NA NA NA NA
"OGN" 0.071519256 0.24165225 0.44877183 NA NA NA NA 0.1324004 NA 0.15877736 0.071519256 NA
"ARPC2" 0.20226443 NA 0.31825674 NA NA NA NA 0.16680968 NA NA NA NA
"ATIC" 0.4190575 0.33967674 NA NA NA NA NA NA NA NA 0.23879659 NA
"BCL2L14" 0.1271975 NA NA NA NA NA NA NA NA NA NA 0.096478224
"TCN2" 0.17219532 0.24451458 0.07646525 NA NA NA NA NA NA NA NA NA
"IGFBP5" 0.8578044 0.39315677 0.5170504 NA NA NA NA NA NA NA NA NA
"PLA1A" 0.33967674 NA NA NA NA NA NA NA NA NA NA NA
"COLGALT1" 0.03038609 NA NA NA NA NA NA NA NA NA NA NA
"MTAP" 0.6982436 0.7660378 0.5275661 NA NA NA NA NA NA NA NA NA
"ASS1" NA NA 0.1561122 NA NA NA NA NA NA NA NA NA
"GPR39" 0.083926916 NA NA NA NA NA NA NA NA NA NA NA
"LeCT2" 0.58124804 NA 0.6032454 NA NA NA NA NA 0.39958727 NA NA NA
"RPS18" NA NA 0.43879855 NA NA NA NA NA NA NA NA NA
"MYL12B" 0.6032454 NA 0.6672472 NA NA NA NA NA NA NA 0.6032454 NA
"FKBP4" NA NA NA NA 0.083926916 NA NA NA NA NA NA NA
"HSPB1" NA NA NA NA 0.47570658 NA NA NA NA NA NA NA
"XPNPeP1" NA NA NA 0.06414306 NA NA NA 0.037528396 NA NA NA NA
"MAeA" NA NA NA 0.11173177 NA NA NA 0.11173177 NA NA NA NA
"AHSA2" NA NA 0.12201846 NA NA NA NA NA NA NA 0.12201846 NA
"NOSTRIN" NA NA NA NA NA NA 0.101539254 0.101539254 NA NA NA NA
"TNFAIP8L2" 0.43879855 NA 0.43879855 NA NA NA NA NA NA NA NA NA
"OMD" 0.16412604 0.05681753 NA NA 0.17219532 0.10917485 NA NA NA NA NA NA
"DNM1L" 0.12460494 NA 0.11686325 NA NA NA NA NA NA NA NA NA
"NMe2" NA 0.37404191 NA NA 0.599558 0.62554884 NA NA NA NA NA NA
"ARHGDIB" NA NA 0.38038433 NA NA NA NA NA NA NA 0.38038433 NA
"MAML2" 0.03038609 NA NA 0.03038609 NA 0.03038609 NA NA NA NA NA NA
"ITGB1" NA NA 0.09395635 NA NA NA NA NA NA NA NA NA
"FMOD" 0.34276497 0.12979591 0.083926916 NA NA NA NA NA 0.083926916 0.083926916 NA NA
"HBe2" NA NA 0.47910845 NA NA NA NA NA NA 0.47910845 NA NA
"SPON1" 0.11429453 NA 0.059253693 NA NA 0.061695576 NA NA NA NA NA NA
"VDAC1" NA NA NA NA 0.17760599 NA NA NA 0.16680968 NA NA NA
"MYH7" NA NA NA NA NA 0.14815366 NA NA 0.096478224 NA NA NA
"eBD" NA NA NA 0.4321879 NA NA NA NA NA NA NA NA
"HSPA2" NA NA NA NA NA 0.21059811 NA NA 0.101539254 NA NA 0.14024973
"UBC" NA 1.77332 NA NA NA NA NA NA 0.61808 1.77332 1.77332 NA
"CFAP210" NA 0.30918193 0.10662377 NA 0.19949937 0.39958727 0.04712856 NA 0.04712856 NA NA NA
"RHOC" 0.55596566 0.19674051 0.39636838 NA NA NA NA NA NA NA NA NA
"CA3" 0.599558 0.2705741 NA NA NA NA NA NA NA NA NA NA
"SNRPD1" NA NA NA NA NA NA NA 0.47231245 NA NA NA NA
"PNPO" 0.26765192 NA NA NA NA NA NA NA NA NA NA NA
"RPS20" 0.55955243 NA NA NA NA NA NA NA NA NA NA NA
"RAB5C" 0.37720942 NA 0.22461617 NA NA 0.12460494 NA NA NA NA NA NA
"UBe2M" 0.22179961 NA NA NA 0.09144032 NA NA NA NA NA NA NA
"CTNNB1" 0.09144032 0.1614486 NA NA 0.41579378 0.21618605 NA NA NA 0.12460494 NA NA
"ANKRD54" 0.08893013 NA NA NA 0.08893013 NA NA NA NA NA 0.08893013 NA
"SeRPINA3-3" NA NA NA NA NA NA 0.77010894 2.1332858 0.8535316 NA NA NA
"COQ6" NA NA NA NA NA NA NA NA NA NA 0.06659615 NA
"RAB6B" 0.40928876 0.455459 0.31825674 NA NA 0.455459 NA NA NA NA NA NA
"RDX" NA 0.21898961 0.25314116 NA NA 0.1561122 NA NA NA NA NA NA
"RHOB" 0.54525447 0.2647363 0.54525447 NA 0.2647363 NA NA NA NA NA NA NA
"BPIFB1" 0.08642566 0.24451458 0.19674051 NA 0.08642566 0.18032062 NA NA NA NA NA NA
"ACTC1" 1.1577444 1.3496327 1.4547088 NA 1.1577444 1.1577444 NA NA 0.39958727 0.90985334 1.7039585 0.7988709
"APP" NA NA NA NA NA NA NA NA NA NA 0.36772883 NA
"eeF1D" 0.67880404 0.24738348 NA NA 0.24738348 NA NA NA NA NA NA NA
"COL2A1" 0.0519619 NA 0.023293018 NA NA 0.0519619 NA NA NA NA 0.06659615 NA
"RAB27B" 0.47910845 0.35831344 NA NA NA 0.21059811 NA NA NA NA NA NA
"CRYAB" NA NA NA NA NA NA NA NA NA NA 0.1561122 NA
"GNAI1" 0.19949937 NA NA NA NA 0.1614486 NA NA NA NA NA NA
"ANP32B" NA NA NA NA 0.15080035 NA NA NA NA NA 0.44877183 0.3614447
"UTP15" 0.059253693 0.059253693 0.059253693 0.059253693 0.059253693 NA 0.059253693 0.059253693 NA 0.059253693 0.059253693 0.101539254
"DRC7" 0.09395635 NA NA NA NA NA NA NA NA NA NA NA
"K2C4" 0.55596566 NA NA NA NA 0.8113401 NA NA NA NA NA NA
"CD47" NA NA NA NA 0.11173177 0.11173177 NA NA NA NA NA NA
"CATHL2" NA NA NA NA 0.25025904 0.25025904 NA NA NA NA NA NA
"GDF6" 0.10407865 NA NA 0.061695576 0.061695576 NA NA NA NA NA 0.061695576 NA
"KRT78" 0.15345323 0.071519256 NA 0.12460494 0.15080035 NA NA NA NA 0.11943793 0.14551294 NA
"PLeKHA2" NA NA NA NA NA NA 0.09144032 NA NA NA NA NA
"SeLeNOK" NA NA NA NA NA NA NA NA NA NA NA NA
"IMP4" NA NA NA NA NA NA NA NA NA NA 0.06414306 0.06414306
"SLC15A4" NA NA NA 0.04231739 NA NA NA NA NA NA NA NA
"PReLID1" NA NA NA NA NA NA NA NA NA 0.1694994 NA NA
"RPL12" NA 0.25025904 NA NA 0.25025904 NA NA NA NA NA NA NA
"GTF2I" NA NA NA NA NA NA NA NA NA NA 0.013911366 NA
"TMSB10" NA NA NA NA NA NA NA NA NA NA 0.8281002 NA
"IDH1" 0.11686325 0.20226443 NA NA NA NA NA NA NA NA NA NA
"PPP1CB" 0.13501084 NA NA NA NA NA NA NA NA NA NA NA
"UBA52" NA 0.8450154 NA NA 1.3280914 NA NA NA 0.3335215 0.8450154 0.8450154 NA
"POLR3A" 0.14815366 NA NA NA NA NA NA NA NA NA NA NA
"GNB1" 0.1614486 0.06905484 NA NA NA NA NA NA NA NA NA NA
"PSMA7" 0.503142 NA 0.25025904 NA 0.25025904 NA NA NA NA NA NA NA
"RAB8B" NA 0.80301774 0.5100801 NA 0.33659554 NA NA NA NA NA NA NA
"MeD30" NA NA NA NA NA NA NA NA NA NA NA 0.07398939
"TALDO1" NA 0.17760599 NA NA NA NA NA 0.36772883 NA NA NA NA
"KRT35" NA 0.096478224 NA NA 2.0338912 NA NA NA NA NA NA NA
"GMFG" NA NA NA NA NA NA NA NA NA NA 0.19398808 NA
"HNRNPA1" NA NA NA NA 0.3614447 NA NA NA NA NA NA NA
"KRT81" NA NA NA NA 3.8305883 NA NA NA NA NA NA NA
"GPLD1" 0.15080035 0.16680968 0.19398808 NA 0.08893013 0.04231739 NA NA NA NA NA NA
"eIF4A1" NA NA NA NA 0.34276497 NA NA NA NA NA 0.08143401 NA
"ATP5F1B" NA NA NA NA 0.28233063 NA NA NA NA NA NA NA
"PKP1" NA NA NA NA 0.48251808 NA NA NA NA NA NA NA
"KRT83" NA NA NA NA 6.3113914 NA NA NA NA NA NA NA
"SFN" NA NA NA NA 1.3280914 NA NA NA NA NA NA NA
"MRPS24" 0.24738348 NA NA NA 0.24738348 NA NA NA NA NA 0.24738348 NA
"GIMD1" NA NA NA NA NA NA NA NA NA 0.22461617 NA NA
"PDIA4" 0.12201846 0.29419577 NA NA 0.12201846 NA NA NA NA NA 0.12201846 0.42560756
"RAP1A" NA NA NA 0.89234364 NA NA 0.89234364 0.40281367 0.40281367 NA NA NA
"HP251" NA NA 0.17760599 NA NA NA NA NA NA NA 0.6672472 0.25602996
"HP1BP3" NA NA NA NA 0.09144032 NA NA NA NA NA NA NA
"ACCS" 0.08143401 NA NA NA 0.08143401 NA NA NA NA NA NA NA
"ANXA6" 0.1614486 NA 0.08893013 NA 0.15877736 NA NA NA NA NA NA NA
"H3-3A" NA NA NA NA 0.8071741 NA NA NA NA NA NA NA
"UMOD" NA NA NA NA NA NA NA NA NA NA NA NA
"CHCT1" NA NA NA NA NA NA NA NA NA NA 0.061695576 0.18304157
"RPL30" 0.552387 NA NA NA 0.9769696 NA NA NA NA NA NA NA
"eXT2" NA 0.06905484 NA NA NA NA NA NA NA NA NA NA
"ACO1" 0.21618605 0.3273945 0.11943793 NA NA NA NA NA NA NA NA NA
"MX2" NA NA NA NA NA NA NA NA NA 0.032761455 NA NA
"SNRPN" NA NA NA NA 0.15345323 NA NA NA NA NA NA NA
"RPL7" NA NA NA NA 0.21618605 NA NA NA NA NA 0.29717934 NA
"PSMB2" NA 0.13501084 NA NA 0.13501084 NA NA NA NA NA NA NA
"LAP3" NA NA NA NA 0.21059811 NA NA NA NA NA NA NA
"TYROBP" 0.2647363 NA NA NA 0.2647363 NA NA NA NA NA NA NA
"TUBA3" NA NA NA NA NA NA 0.12979591 NA NA NA NA NA
"CNP" 0.101539254 NA NA NA NA NA NA NA NA NA NA NA
"TAF7" 0.04712856 NA NA NA 0.04712856 NA NA NA NA NA NA NA
"HBe4" 0.32434154 NA 0.47910845 NA NA NA NA NA NA 0.47910845 NA NA
"CSNK1D" 0.044720173 NA NA NA 0.10407865 NA NA NA NA NA NA NA
"CLTC" NA NA NA NA 0.1271975 NA NA NA NA NA NA NA
"ACTN3" 0.10662377 NA 0.13501084 NA NA NA NA NA NA NA NA NA
"DAW1" NA NA NA NA NA NA NA NA NA NA 0.09395635 NA
"VAMP2" NA NA NA NA 0.40281367 NA NA NA NA NA 0.40281367 NA
"CRYBB1" NA NA NA 0.07646525 0.07646525 NA NA NA NA NA NA NA
"KRT40" NA NA NA 0.09395635 0.2647363 NA NA NA NA NA NA NA
"TUBA1C" NA NA NA NA NA NA 0.12979591 NA NA NA NA NA
"PDLIM1" NA 0.2618276 NA NA NA NA NA NA NA NA NA NA
"PSMB1" 0.64437175 NA 0.21059811 NA NA NA NA NA NA NA NA NA
"PRIMPOL" NA 0.0519619 NA NA NA NA NA NA NA NA NA NA
"AOC3" NA 0.15345323 0.17760599 NA NA NA NA NA NA 0.14551294 0.08143401 0.049542427
"SAR1A" 0.4859357 0.38356638 0.30617094 NA 0.30617094 0.30617094 NA NA NA NA NA NA
"KRT74" NA NA NA NA 0.10662377 0.10917485 NA NA NA 0.096478224 NA NA
"ARPC4" 0.44877183 0.68267405 0.44877183 NA 0.61435854 0.44877183 NA NA NA NA NA NA
"NMe1-1" 0.50660706 0.37404191 NA NA 0.599558 0.39636838 NA NA NA NA NA NA
"USO1" 0.40281367 0.9815271 0.21898961 NA 0.48251808 0.22179961 NA NA NA NA 0.40928876 NA
"NMe1-2" 0.50660706 0.37404191 NA NA 0.599558 0.39636838 NA NA NA NA NA NA
"PDe12" 0.049542427 NA NA 0.023293018 NA NA NA NA NA NA NA NA
"GATC" NA NA NA NA NA NA NA NA NA NA 0.31219995 NA
"MPV17L" NA NA NA NA NA NA NA NA NA NA 0.12460494 NA
"S100A8" 0.90985334 NA NA NA NA NA NA NA NA NA NA NA
"eMC10" 0.27938128 NA NA NA NA NA NA NA NA NA NA NA
"RACK1" NA NA NA NA 0.2882495 NA NA NA NA NA NA NA
"PLCD1" NA NA NA NA 0.1614486 NA NA NA NA NA NA NA
"63258" NA NA NA NA NA NA NA NA NA NA NA NA
"PSMC4" NA NA NA NA 0.06905484 NA NA NA NA NA NA NA
"PTPDC1" NA NA 0.09395635 NA NA NA NA NA NA 0.025651932 NA NA
"ACTN1" 0.14551294 0.11173177 0.1324004 NA NA NA NA NA NA NA 0.25314116 NA
"CAPZA2" NA 0.1561122 NA NA NA NA NA NA NA NA NA NA
"COTL1" 0.7619761 NA NA NA NA NA NA NA NA NA NA NA
"PReP" NA NA NA NA 0.12460494 NA NA NA NA NA NA NA
"LUC7L3" NA NA NA NA NA NA NA NA NA NA NA NA
"GPATCH1" NA NA NA 0.04712856 NA NA NA NA NA NA NA NA
"CNOT10" NA NA NA NA NA NA NA NA NA NA 0.096478224 NA
"LDHAL6B" 0.1428783 NA 0.17760599 NA NA NA NA NA NA NA NA NA
"PGAM2" 0.33659554 NA NA NA NA NA NA NA NA NA NA NA
"PTGDS" NA NA 0.18304157 NA NA NA NA NA NA 0.18304157 NA NA
"SLC20A2" NA NA NA NA 0.07398939 NA NA NA NA NA NA NA
"UBB" NA 1.7925436 NA NA NA NA NA NA 0.6218101 1.7925436 1.7925436 NA
"SWAP70" NA NA NA NA NA NA NA NA NA NA NA NA
"HeXA" NA NA NA 0.071519256 NA NA NA NA NA NA NA NA
